orbit_id,e,a,i,om,w,ma,n,tp,moid,moid_jup,class,producer,data_arc,n_obs_used,rms,diameter,albedo,diameter_sigma,first_year_obs,first_month_obs,last_obs_year,last_obs_month
JPL 30,0.06963368325289543,2.255137301022127,3.789354323462039,354.71565516496287,119.8555838407511,2.829443566984852,0.291034578241133,2458590.7779814545,1.11769,2.6319999999999997,MBA,Otto Matic,37478.0,2404,0.44533999999999996,7.501,0.213,0.09699999999999999,1916,10,2019,5
JPL 71,0.1738780161497901,2.368323098904724,6.087142155217228,190.58793274202668,84.12738458527569,39.16982678004761,0.2704223905770422,2458455.6531672482,0.951392,2.34907,MBA,Otto Matic,28265.0,2745,0.42113,7.839,0.415,0.204,1942,7,2019,11
JPL 34,0.1904452018050698,2.2089614262696857,5.448733203813955,163.126326427918,193.83546685027667,268.2298218973056,0.3002077335160984,2458906.188920894,0.783483,2.80999,MBA,Otto Matic,35817.0,2613,0.46743,7.249,0.239,0.35100000000000003,1921,9,2019,10
JPL 33,0.1197829063926915,2.22198842127341,4.250654790732585,158.01365106398768,66.50606873121241,277.6573756529824,0.2975715359359054,2458877.215392445,0.9517399999999999,2.49119,MBA,Otto Matic,40911.0,2759,0.45701,8.011,0.38,0.063,1907,5,2019,5
JPL 27,0.2265127911653164,2.360474159785435,2.065369341574486,172.838057182501,190.23834765159242,110.48397329644541,0.2717723051662385,2458193.9686088455,0.8225370000000001,2.55903,MBA,Otto Matic,37492.0,1661,0.5191,2.529,0.39899999999999997,0.381,1916,9,2019,5
JPL 31,0.1985865755932211,2.2382266057074656,4.715503790534852,285.48088144,42.47341791335999,145.8230814008639,0.2943391240480615,2458105.074589353,0.784596,2.65734,MBA,Otto Matic,37328.0,2597,0.45816999999999997,7.036,0.263,0.091,1917,9,2019,11
JPL 25,0.1799498855971496,2.446231438312654,6.346045196158311,353.059960067892,28.531108377880763,87.60388931337349,0.2576070586797797,2458260.432108373,1.01023,2.58748,MBA,Otto Matic,36759.0,2292,0.4379,8.552,0.38299999999999995,0.4370000000000001,1918,9,2019,5
JPL 31,0.1457503696812011,2.219107815934467,4.0219713871205,346.4003798366478,58.447250042875204,256.6840873345192,0.2981511366195941,2458947.0219480186,0.9076200000000001,2.83624,MBA,Otto Matic,36214.0,2244,0.4341100000000001,6.411,0.35700000000000004,0.162,1920,9,2019,11
JPL 36,0.1650941729792015,2.248206814207257,3.0261752012913634,249.157125104114,87.98255249256975,6.7568932154272225,0.2923813615597444,2458577.3901369795,0.869743,2.74926,MBA,Otto Matic,35852.0,2576,0.43262,7.506,0.217,0.11,1921,10,2019,11
JPL 38,0.1380094992611667,2.2473285961436535,7.984227440417317,62.46956972900684,5.623603553837882,309.5280266653786,0.2925527648501559,2458773.022633175,0.9509790000000001,2.72323,MBA,Otto Matic,35827.0,2159,0.41053999999999996,9.008,0.22,0.08199999999999999,1921,10,2019,11
JPL 31,0.1685357128687487,2.2251502552041145,5.413201069530699,82.35234546088942,231.97399586124007,215.6729456894178,0.296937508550052,2459086.55194748,0.841111,2.66572,MBA,Otto Matic,34553.0,2970,0.4055,10.216,0.294,0.36200000000000004,1924,10,2019,5
JPL 29,0.2714973450275558,2.5599531525064982,5.032458985279773,310.7756794874929,95.51629724469878,281.26537345566794,0.240633477504469,2458927.697310037,0.882164,2.1866,MBA,Otto Matic,35792.0,2253,0.44172,9.204,0.22899999999999998,0.289,1921,11,2019,11
JPL 30,0.1283672871615274,2.219316217354493,6.034353566368482,8.847209078300331,53.31266717373907,354.9213607637449,0.2981091414809091,2458617.536174104,0.9533010000000001,2.79052,MBA,Otto Matic,34999.0,2445,0.41716000000000003,9.539,0.308,0.078,1924,2,2019,11
JPL 29,0.07122462441687953,1.9114878832493438,26.97749056713183,144.40612519263942,122.084695721071,254.3168907782681,0.3729466837786416,2458883.873237565,0.807517,3.1368400000000003,IMB,Otto Matic,34777.0,2070,0.32633,7.169,0.305,0.263,1924,2,2019,5
JPL 32,0.0441042409758132,2.788665955989446,4.059705298551745,180.6897403623843,36.79370219868589,103.72194478981821,0.2116456426293964,2458110.426386855,1.65979,2.05182,MBA,Otto Matic,34962.0,2783,0.47197,10.067,0.15,0.09,1924,3,2019,11
JPL 33,0.03929288849622594,1.9791670833973067,26.860931893827487,163.3799265355146,348.92121920393646,314.8584634130396,0.3539813529680063,2458728.0251823533,0.911444,2.92294,IMB,Otto Matic,34947.0,2174,0.39648,4.605,1.0,0.171,1923,8,2019,4
JPL 33,0.1813984781830392,2.254580702143311,5.40004955914134,104.57651647911908,212.43935198405399,107.1535337753232,0.2911423584930161,2458232.454847346,0.8337459999999999,2.6192599999999997,MBA,Otto Matic,35170.0,2335,0.45798,7.353,0.156,0.08199999999999999,1923,8,2019,11
JPL 25,0.2631267487584212,2.29287955001293,3.9714774007084785,304.4848827338635,18.86217410355167,113.35997355309358,0.2838783109583365,2458201.1740593524,0.676895,2.43975,MBA,Otto Matic,34778.0,2448,0.44538999999999995,7.919,0.25,0.047,1924,9,2019,11
JPL 34,0.1905153428026473,2.2547995331570343,5.899943900816744,200.66766943652308,169.7858013165244,346.6635843625721,0.2910999759459129,2458646.313867192,0.824667,2.77942,MBA,Otto Matic,34728.0,1961,0.48854,6.884,0.13,0.174,1924,10,2019,11
JPL 30,0.1598698860548602,2.358474764464086,0.2648102781006722,267.679180816951,166.9150812170624,8.901152358260884,0.2721179705703627,2458567.7893622583,0.9962770000000001,2.5159,MBA,Otto Matic,24122.0,2713,0.45577,6.104,0.32799999999999996,0.265,1953,11,2019,11
JPL 33,0.1775055723950636,2.624874659319168,12.497183970787251,342.3185057571559,66.33333201585815,325.8061566503461,0.2317614602829676,2458748.0389536642,1.2007700000000001,2.45554,MBA,Otto Matic,40599.0,1979,0.42471000000000003,8.773,0.364,0.115,1908,10,2019,11
JPL 40,0.1435455470226613,2.2360021888152586,4.697051341690101,99.57655550488968,297.94762044083353,355.961254203496,0.2947784543834717,2458614.2009531613,0.9273620000000001,2.8405099999999996,MBA,Otto Matic,40598.0,2517,0.43671000000000004,9.785,0.301,0.12300000000000001,1908,10,2019,11
